GPU,Score,MSRP,GPUClock,VRAMClock,SP,TMU,ROP,VRAM,Memory Type,NM,Transistors,Year,Generation,Config
RTX 5090,14235,1999,2407,28,21760,680,192,32,GDDR7,4,92.2,2025,50,1000
RTX 5080,8532,999,2617,30,10752,336,128,16,GDDR7,4,45.6,2025,50,545.8823529
RTX 5070 Ti,6474,749,2475,28,8960,280,128,16,GDDR7,4,45.6,2025,50,488.2352941
RTX 5070,4991,549,2520,28,6144,192,64,12,GDDR7,4,31,2025,50,297.6470588
RTX 4090,9221,1599,2520,21,16384,512,176,24,GDDR6X,4,76.3,2022,40,802.0588235
RTX 4080 S,6599,999,2550,23,10240,320,112,16,GDDR6X,4,45.9,2024,40,504.4117647
RTX 4080,6562,1199,2505,23,9728,304,112,16,GDDR6X,4,45.9,2022,40,487.9411765
RTX 4070 Ti S,5567,799,2610,21,8448,264,96,16,GDDR6X,4,45.9,2024,40,421.7647059
RTX 4070 Ti,5023,799,2610,21,7680,240,80,12,GDDR6X,4,35.8,2023,40,372.0588235
RTX 4070 S,4625,599,2475,21,7168,224,80,12,GDDR6X,4,35.8,2024,40,355.5882353
RTX 4070,3853,599,2475,21,5888,184,64,12,GDDR6X,4,35.8,2023,40,289.4117647
RTX 4060 Ti,2905,399,2535,18,4352,136,64,8,GDDR6,4,22.9,2023,40,240
RTX 4060,2301,299,2460,17,3072,96,64,8,GDDR6,4,18.9,2023,40,198.8235294
RTX 3090 Ti,5742,1999,1860,21,10496,336,112,24,GDDR6X,8,28,2022,30,516.1764706
RTX 3090,5117,1499,1695,19,10496,336,112,24,GDDR6X,8,28,2020,30,516.1764706
RTX 3080 Ti,5076,1199,1665,19,10240,320,112,12,GDDR6X,8,28,2021,30,504.4117647
RTX 3080,4417,699,1710,19,8704,272,96,10,GDDR6X,8,28,2020,30,430
RTX 3070 Ti,3477,599,1770,19,6144,192,96,8,GDDR6X,8,17.4,2021,30,347.6470588
RTX 3070,3162,499,1725,14,5888,184,96,8,GDDR6,8,17.4,2020,30,339.4117647
RTX 3060 Ti,2669,399,1665,14,4864,152,80,8,GDDR6,8,17.4,2020,30,281.4705882
RTX 3060,1961,329,1777,15,3584,112,48,12,GDDR6,8,13.3,2021,30,190.2941176
RTX 3050,1329,249,1777,14,2560,80,32,8,GDDR6,8,13.3,2022,30,132.3529412
Titan RTX,3799,2499,1770,14,4608,288,96,24,GDDR6,12,18.4,2018,20,361.7647059
RTX 2080 Ti,3539,999,1545,14,4352,272,88,11,GDDR6,12,18.4,2018,20,337.5
RTX 2080 S,2755,699,1815,15,3072,192,64,8,GDDR6,12,13.6,2019,20,241.1764706
RTX 2080,2600,699,1710,14,2944,184,64,8,GDDR6,12,13.6,2018,20,235.2941176
RTX 2070 S,2416,499,1770,14,2560,160,64,8,GDDR6,12,13.6,2019,20,217.6470588
RTX 2070,2107,499,1620,14,2304,144,64,8,GDDR6,12,10.8,2018,20,205.8823529
RTX 2060 S,2016,399,1650,14,2176,136,64,8,GDDR6,12,10.8,2019,20,200
RTX 2060,1726,349,1680,14,1920,120,48,6,GDDR6,12,10.8,2019,20,163.2352941
